image_name,text_id,variant,label,source
10001_doc.png,10001,doc,0,human
10002_doc.png,10002,doc,0,human
10007_doc.png,10007,doc,0,human
10010_doc.png,10010,doc,0,human
10015_doc.png,10015,doc,0,human
10017_doc.png,10017,doc,0,human
10019_doc.png,10019,doc,0,human
10022_doc.png,10022,doc,0,human
10026_doc.png,10026,doc,0,human
1003_doc.png,1003,doc,0,human
10040_doc.png,10040,doc,0,human
10048_doc.png,10048,doc,0,human
10052_doc.png,10052,doc,0,human
10058_doc.png,10058,doc,0,human
10059_doc.png,10059,doc,0,human
1005_doc.png,1005,doc,0,human
10062_doc.png,10062,doc,0,human
10064_doc.png,10064,doc,0,human
10066_doc.png,10066,doc,0,human
1007_doc.png,1007,doc,0,human
10080_doc.png,10080,doc,0,human
10094_doc.png,10094,doc,0,human
10096_doc.png,10096,doc,0,human
100_doc.png,100,doc,0,human
10104_doc.png,10104,doc,0,human
10111_doc.png,10111,doc,0,human
10127_doc.png,10127,doc,0,human
10141_doc.png,10141,doc,0,human
10155_doc.png,10155,doc,0,human
10157_doc.png,10157,doc,0,human
10161_doc.png,10161,doc,0,human
10179_doc.png,10179,doc,0,human
1017_doc.png,1017,doc,0,human
10184_doc.png,10184,doc,0,human
10194_doc.png,10194,doc,0,human
10195_doc.png,10195,doc,0,human
101_doc.png,101,doc,0,human
10200_doc.png,10200,doc,0,human
10201_doc.png,10201,doc,0,human
10205_doc.png,10205,doc,0,human
10212_doc.png,10212,doc,0,human
10215_doc.png,10215,doc,0,human
10218_doc.png,10218,doc,0,human
1021_doc.png,1021,doc,0,human
10224_doc.png,10224,doc,0,human
10226_doc.png,10226,doc,0,human
10230_doc.png,10230,doc,0,human
10231_doc.png,10231,doc,0,human
10232_doc.png,10232,doc,0,human
10239_doc.png,10239,doc,0,human
1023_doc.png,1023,doc,0,human
10246_doc.png,10246,doc,0,human
10248_doc.png,10248,doc,0,human
10250_doc.png,10250,doc,0,human
10251_doc.png,10251,doc,0,human
10253_doc.png,10253,doc,0,human
10254_doc.png,10254,doc,0,human
10257_doc.png,10257,doc,0,human
1025_doc.png,1025,doc,0,human
10267_doc.png,10267,doc,0,human
10269_doc.png,10269,doc,0,human
1026_doc.png,1026,doc,0,human
10270_doc.png,10270,doc,0,human
10273_doc.png,10273,doc,0,human
10277_doc.png,10277,doc,0,human
10281_doc.png,10281,doc,0,human
1028_doc.png,1028,doc,0,human
10292_doc.png,10292,doc,0,human
1030_doc.png,1030,doc,0,human
10313_doc.png,10313,doc,0,human
10315_doc.png,10315,doc,0,human
10319_doc.png,10319,doc,0,human
